platform_id,comparability,phase,priority,mode,workload,throughput_unit,experiments,completed,failed,total_runtime_seconds,avg_runtime_seconds,avg_throughput_tokens_sec,avg_throughput_samples_sec,avg_gpu_utilization,max_memory_used_gb,estimated_gpu_hours,actual_gpu_hours,energy_joules
l40s,exact,Baseline profiling,Should Have,training,tinyllama,training_tokens_per_second,6,6,0,421.58073178492486,70.26345529748748,10752.61361097393,10.500599229466728,60.445451494468834,26.53515625,7.5,0.06348910543886531,0
l40s,exact,Data movement,Must Have,training,distilbert,training_tokens_per_second,12,12,0,197.75725503778085,16.479771253148403,282199.0494745237,551.1700185049291,31.130233886483882,4.935546875,4.8,0.019353060027092903,0
l40s,exact,Data movement,Must Have,training,gpt2_small,training_tokens_per_second,12,12,0,591.8468511644751,49.320570930372924,45750.20210801472,44.67793174610812,71.72743829776026,28.033203125,4.8,0.11937309043287923,0
l40s,exact,Data movement,Should Have,training,distilbert,training_tokens_per_second,12,12,0,182.29153361357749,15.190961134464791,281140.9373422255,549.1033932465342,38.30810519889467,4.935546875,4.8,0.019426959827930353,0
l40s,exact,Data movement,Should Have,training,gpt2_small,training_tokens_per_second,12,12,0,578.3516783406958,48.19597319505798,45705.8256717881,44.63459538260557,49.58560123389236,28.033203125,4.8,0.11948938650182553,0
l40s,exact,Distributed training strategy,Must Have,training,distilbert,training_tokens_per_second,6,6,0,124.83466174919158,20.805776958198596,485294.36366883264,947.8405540406887,51.85103995573945,5.658203125,7.2,0.02252804329385981,0
l40s,exact,Distributed training strategy,Must Have,training,gpt2_small,training_tokens_per_second,6,6,0,309.8301971061155,51.638366184352584,89213.76124149538,87.12281371239783,87.66287556438954,28.95703125,7.2,0.12247304768637858,0
l40s,exact,Distributed training strategy,Optional,training,distilbert,training_tokens_per_second,3,3,0,63.048683799337596,21.016227933112532,512000.0129244725,1000.0000252431104,45.30947018447018,5.55078125,3.5999999999999996,0.01066667222728332,0
l40s,exact,Distributed training strategy,Optional,training,gpt2_small,training_tokens_per_second,3,3,0,139.99408229114488,46.66469409704829,125642.92876004415,122.69817261723061,74.42126117609989,25.431640625,3.5999999999999996,0.04346730790747744,0
l40s,exact,Distributed training strategy,Should Have,training,distilbert,training_tokens_per_second,9,9,0,212.6560265040025,23.628447389333612,510632.02239934885,997.3281687487282,58.476750249085654,5.728515625,10.799999999999999,0.03209275315231126,0
l40s,exact,Distributed training strategy,Should Have,training,gpt2_small,training_tokens_per_second,9,9,0,415.61795845162123,46.17977316129125,111928.96123564469,109.30562620668427,80.62073327769504,28.95703125,10.799999999999999,0.14926567713730035,0
l40s,exact,Hardware comparison,Should Have,inference,distilbert,input_tokens_per_second,3,3,0,33.91188712604344,11.303962375347814,92126.79716233995,719.7406028307809,1.2857142857142856,0.650390625,1.5,0.0001157869824156579,0
l40s,exact,Hardware comparison,Should Have,inference,gpt2_small,generated_tokens_per_second,3,3,0,180.28395998151973,60.09465332717324,288.7878168691862,,26.005248248235247,0.796875,1.5,0.036941202984113866,0
l40s,exact,Hardware comparison,Should Have,training,distilbert,training_tokens_per_second,3,3,0,51.849473875015974,17.28315795833866,282559.8543111072,551.8747154513812,47.48148148148149,4.935546875,2.4000000000000004,0.004832059546735965,0
l40s,exact,Hardware comparison,Should Have,training,gpt2_small,training_tokens_per_second,3,3,0,152.91137720504776,50.97045906834925,45827.24185801865,44.75316587697134,84.13175105485232,28.033203125,2.4000000000000004,0.02979312653692129,0
l40s,exact,Inference batching,Must Have,inference,distilbert,input_tokens_per_second,9,9,0,94.56816780101508,10.507574200112787,612685.7356530296,4786.607309789294,0.6897774958119787,0.689453125,3.5999999999999996,0.0003604515547501958,0
l40s,exact,Inference batching,Must Have,inference,gpt2_small,generated_tokens_per_second,9,9,0,617.2548025143333,68.58386694603703,2378.2757703420625,,19.53125436286765,41.021484375,3.5999999999999996,0.09089417449923023,0
l40s,exact,Inference batching,Must Have,inference,tinyllama,generated_tokens_per_second,9,9,0,867.4505588691682,96.38339542990758,1348.0826686268338,,57.22141453251038,41.04296875,4.5,0.16085006346214667,0
l40s,exact,Inference batching,Should Have,inference,distilbert,input_tokens_per_second,9,9,0,83.24351804843172,9.24927978315908,808813.5843278335,6318.856127561199,2.3700142450142447,0.734375,3.5999999999999996,0.0004621476390295558,0
l40s,exact,Inference batching,Should Have,inference,gpt2_small,generated_tokens_per_second,9,9,0,618.4087132839486,68.71207925377206,4576.69967758061,,21.92122821841336,41.021484375,3.5999999999999996,0.09450105448137036,0
l40s,exact,Inference batching,Should Have,inference,tinyllama,generated_tokens_per_second,9,9,0,897.0240164110437,99.66933515678264,2517.9238120368595,,60.257050666848485,41.04296875,4.5,0.17021905634539305,0
l40s,exact,Inference concurrency,Must Have,inference,distilbert,input_tokens_per_second,9,9,0,93.43798872129992,10.381998746811101,90375.18128719782,706.056103806233,5.395833333333333,1.416015625,3.5999999999999996,0.0015351295008117125,0
l40s,exact,Inference concurrency,Must Have,inference,gpt2_small,generated_tokens_per_second,9,9,0,599.4903787551448,66.61004208390497,1528.5547814239605,,19.26527307305275,41.021484375,3.5999999999999996,0.08969316990101814,0
l40s,exact,Inference concurrency,Must Have,inference,tinyllama,generated_tokens_per_second,9,9,0,883.4948755670339,98.16609728522599,843.3198143410413,,52.5468788779699,41.04296875,4.5,0.1613497625156823,0
l40s,exact,Inference concurrency,Should Have,inference,distilbert,input_tokens_per_second,6,6,0,58.88693239958957,9.814488733264929,87609.4820007676,684.4490781309969,10.190972222222221,1.416015625,2.4,0.002134762174812042,0
l40s,exact,Inference concurrency,Should Have,inference,gpt2_small,generated_tokens_per_second,6,6,0,417.3695606533438,69.56159344222397,3066.194426322876,,20.038541648993295,41.01953125,2.4,0.061649768361951116,0
l40s,exact,Inference concurrency,Should Have,inference,tinyllama,generated_tokens_per_second,6,6,0,582.4952808963135,97.08254681605224,1718.730341540284,,54.09113002123788,41.04296875,3.0,0.11056290613151051,0
l40s,exact,Inference framework,Must Have,inference,distilbert,input_tokens_per_second,3,3,0,41.48003809014335,13.826679363381118,93375.3370895866,729.4948210123953,0.25019157088122607,0.650390625,1.7999999999999998,0.00011423556004754371,0
l40s,exact,Inference framework,Must Have,inference,gpt2_small,generated_tokens_per_second,6,6,0,379.2013267031871,63.20022111719785,330.1254024669808,,21.63175538619736,41.01953125,3.6,0.06549219405795964,0
l40s,exact,Inference framework,Must Have,inference,tinyllama,generated_tokens_per_second,6,6,0,691.0089331599884,115.16815552666473,163.40930956763808,,52.45838441452554,41.04296875,4.8,0.1425667380015107,0
l40s,exact,Inference multi-GPU,Should Have,inference,distilbert,input_tokens_per_second,3,3,0,28.84737489372492,9.61579163124164,36565.16760419643,285.6653719077846,1.5856481481481481,1.08984375,2.4000000000000004,0.0005834475389888717,0
l40s,exact,Inference multi-GPU,Should Have,inference,gpt2_small,generated_tokens_per_second,3,3,0,232.60391739290208,77.53463913096736,289.33265449873534,,22.897512207637163,41.060546875,2.4000000000000004,0.07373614806242079,0
l40s,exact,Inference multi-GPU,Should Have,inference,tinyllama,generated_tokens_per_second,3,3,0,347.52850135648623,115.84283378549542,169.53621233686397,,41.820949428445,41.037109375,2.4000000000000004,0.12584429424152604,0
l40s,exact,Inference precision/quantization,Must Have,inference,distilbert,input_tokens_per_second,6,6,0,89.92798818415031,14.987998030691719,91231.10581164925,712.7430141535098,0.642989417989418,0.724609375,3.0,0.00023391810543317766,0
l40s,exact,Inference precision/quantization,Must Have,inference,gpt2_small,generated_tokens_per_second,6,6,0,358.76742343697697,59.79457057282949,289.35839561632264,,25.687276524173168,0.861328125,3.0,0.07374110790280004,0
l40s,exact,Inference precision/quantization,Must Have,inference,tinyllama,generated_tokens_per_second,6,6,0,782.7499969215132,130.4583328202522,114.19881147309424,,54.691347678138186,2.697265625,3.0,0.1868588814965915,0
