condition_id,experiment_id,platform_id,comparability,workload,model,platform,framework,precision,gpus,batch_size,concurrent_requests,prompt_length,throughput_unit,trials,avg_throughput_tokens_sec,avg_throughput_samples_sec,avg_latency_p50_ms,avg_latency_p95_ms,avg_ttft_p50_ms,avg_queueing_p50_ms,avg_memory_used_gb,avg_energy_joules
E188@l40s,E188,l40s,exact,tinyllama,TinyLlama/TinyLlama-1.1B-Chat-v1.0,lovelace_l40s,vllm,bf16,1,1,4,128,generated_tokens_per_second,3,773.489079445686,,662.1573579808077,665.5396610110378,,,41.04296875,
E189@l40s,E189,l40s,exact,tinyllama,TinyLlama/TinyLlama-1.1B-Chat-v1.0,lovelace_l40s,vllm,bf16,1,1,8,128,generated_tokens_per_second,3,1547.1835338708572,,662.0872335042804,664.9206157851344,,,41.04296875,
E190@l40s,E190,l40s,exact,tinyllama,TinyLlama/TinyLlama-1.1B-Chat-v1.0,lovelace_l40s,vllm,bf16,1,1,16,128,generated_tokens_per_second,3,3046.2118911677976,,672.0079053969433,676.4424136218926,,,41.04296875,
E191@l40s,E191,l40s,exact,tinyllama,TinyLlama/TinyLlama-1.1B-Chat-v1.0,lovelace_l40s,vllm,bf16,1,1,1,128,generated_tokens_per_second,3,210.85135259810747,,607.2061993957808,610.0538079005977,,,41.04296875,
E192@l40s,E192,l40s,exact,tinyllama,TinyLlama/TinyLlama-1.1B-Chat-v1.0,lovelace_l40s,vllm,bf16,1,1,1,640,generated_tokens_per_second,3,202.19906022350776,,632.9951506728927,636.5683410471926,,,41.04296875,
E193@l40s,E193,l40s,exact,tinyllama,TinyLlama/TinyLlama-1.1B-Chat-v1.0,lovelace_l40s,vllm,bf16,1,1,1,1280,generated_tokens_per_second,3,207.7891122719426,,615.7912386891743,619.5244788813094,,,41.04296875,
E194@l40s,E194,l40s,exact,tinyllama,TinyLlama/TinyLlama-1.1B-Chat-v1.0,lovelace_l40s,vllm,bf16,1,1,1,1920,generated_tokens_per_second,3,204.8175096304675,,625.0051368648807,627.7806122632076,,,41.04296875,
E195@l40s,E195,l40s,exact,tinyllama,TinyLlama/TinyLlama-1.1B-Chat-v1.0,lovelace_l40s,vllm,bf16,2,1,1,128,generated_tokens_per_second,3,169.53621233686397,,754.804788933446,757.9131758927057,,,41.034505208333336,
E197@l40s,E197,l40s,exact,tinyllama,TinyLlama/TinyLlama-1.1B-Chat-v1.0,lovelace_l40s,pytorch_eager,fp16,1,1,1,128,generated_tokens_per_second,3,113.38271553811568,,1129.3427619772654,1131.6544591682032,10.178646926457683,,2.6764322916666665,
E198@l40s,E198,l40s,exact,tinyllama,TinyLlama/TinyLlama-1.1B-Chat-v1.0,lovelace_l40s,pytorch_eager,bf16,1,1,1,128,generated_tokens_per_second,3,115.0149074080728,,1113.725538443153,1117.5842768124614,10.067427608494958,,2.697265625,
E212@l40s,E212,l40s,platform_specific,gpt2_small,gpt2,lovelace_l40s,pytorch_eager,bf16,1,1,1,128,generated_tokens_per_second,3,288.94020972804316,,442.96854028167826,445.0905383486922,4.539985830585162,,0.796875,
