condition_id,experiment_id,platform_id,comparability,phase,workload,mode,throughput_unit,required_trials,completed_trials,failed_trials,evidence_status,outliers_excluded,runtime_mean_seconds,runtime_median_seconds,runtime_std_seconds,runtime_cv_percent,runtime_ci95_low_seconds,runtime_ci95_high_seconds,throughput_tokens_mean,throughput_tokens_median,throughput_tokens_std,throughput_tokens_ci95_low,throughput_tokens_ci95_high,throughput_samples_mean,throughput_samples_median,throughput_samples_std,throughput_samples_ci95_low,throughput_samples_ci95_high
E049@h100,E049,h100,exact,Distributed training strategy,gpt2_small,training,training_tokens_per_second,3,3,0,sufficient,0,23.68172887833013,23.90582084597554,1.4789975151364436,6.24531056298763,20.00739884146195,27.35605891519831,248843.81240923566,248521.46216184506,993.2997658549294,246376.11984860402,251311.5049698673,243.0115355558942,242.69674039242682,0.9700193025927045,240.60167953965237,245.42139157213603
E049@l40s,E049,l40s,exact,Distributed training strategy,gpt2_small,training,training_tokens_per_second,3,3,0,sufficient,0,50.341386108348765,48.57390790898353,4.129022593589673,8.202043910159446,40.08349751606518,60.59927470063235,90825.964964475,90931.85007051105,280.2635699963428,90129.69546913209,91522.23445981792,88.69723141062012,88.80063483448345,0.27369489257455354,88.0172807315743,89.37718208966594
E050@h100,E050,h100,exact,Distributed training strategy,gpt2_small,training,training_tokens_per_second,3,3,0,sufficient,0,28.050306180686068,28.12146494607441,0.6794284366812521,2.4221783259858674,26.362376155617696,29.73823620575444,501675.867157386,501654.7884534492,157.6834170916266,501284.12821948633,502067.6060952856,489.91783902088474,489.8972543490715,0.1539877120035416,489.5352814643421,490.30039657742736
E050@l40s,E050,l40s,exact,Distributed training strategy,gpt2_small,training,training_tokens_per_second,3,3,0,sufficient,0,50.19053222161407,51.376030343119055,2.1693239905200246,4.32217769865733,44.80119774573354,55.5798666974946,178995.76940787156,178949.36282939446,153.18184974529117,178615.21388572775,179376.32493001537,174.80055606237457,174.75523713808053,0.1495916501418859,174.428919810281,175.17219231446813
E051@h100,E051,h100,exact,Distributed training strategy,gpt2_small,training,training_tokens_per_second,3,3,0,sufficient,0,25.30114063201472,25.28100524097681,0.14741308206721673,0.5826341357934197,24.934916679828486,25.667364584200957,248289.2127819774,248411.24275359572,313.3993615556974,247510.62277360054,249067.8027903542,242.4699343573998,242.58910425155833,0.30605406401923574,241.70959255234428,243.23027616245528
E051@l40s,E051,l40s,exact,Distributed training strategy,gpt2_small,training,training_tokens_per_second,3,3,0,sufficient,0,48.6801643705306,47.16506457095966,3.1708142569174114,6.513565222957464,40.8027893605755,56.55753938048569,90973.57674191298,91008.2180921249,242.41894343050978,90371.32609832729,91575.82738549868,88.8413835370244,88.87521298059072,0.2367372494438572,88.25324814289775,89.42951893115105
E052@h100,E052,h100,exact,Distributed training strategy,gpt2_small,training,training_tokens_per_second,3,3,0,sufficient,0,25.207326836612385,25.03774426097516,0.9893524425835555,3.924860612933262,22.74944076200441,27.665212911220358,290534.29908465093,290531.6587635318,268.5423047352085,289867.14917644614,291201.44899285573,283.7249014498544,283.72232301126155,0.26224834446797707,283.0733878676232,284.3764150320857
E052@l40s,E052,l40s,exact,Distributed training strategy,gpt2_small,training,training_tokens_per_second,3,3,0,sufficient,0,44.99387836611519,43.56605656677857,3.016303454568893,6.703808527073909,37.500360446033156,52.487396286197225,122322.37218883437,122329.07432385511,421.14058666629467,121276.11653830374,123368.627839365,119.45544159065857,119.46198664438975,0.4112701041663034,118.43370755693725,120.47717562437988
E053@h100,E053,h100,exact,Distributed training strategy,gpt2_small,training,training_tokens_per_second,3,3,0,sufficient,0,24.897866588706773,24.82625076302793,0.45387168449051957,1.8229340368318452,23.77029582125107,26.025437356162474,290465.7993606736,290323.5821387979,622.1879355331412,288920.074099671,292011.5246216761,283.6580071881578,283.51912318241983,0.6076054057940832,282.14850986295994,285.16750451335554
E053@l40s,E053,l40s,exact,Distributed training strategy,gpt2_small,training,training_tokens_per_second,3,3,0,sufficient,0,44.86527674722796,41.79341033566743,5.396314523611201,12.02781954074231,31.45900639209254,58.27154710236338,122490.93477618671,122670.20980760676,383.7056553181726,121537.68015593017,123444.18939644325,119.62005349236983,119.79512676524098,0.37471255402165293,118.68914077727555,120.55096620746411
